
ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF20aautzig,SN2020hgg,12:28:56.39,+40:50:50.1,962.76,r,18.3088,-18.99,21.988,12.988,9,SN Ia,0.0649,75.5188284,0.052
ZTF20aauvjws,SN2020ghv,14:23:46.58,+09:14:04.5,954.96,r,17.9808,-17.64,35.379,4.544,30.835,SN II,0.0299,61.798065,0.074
ZTF20aauwjla,SN2020hks,14:57:33.86,+20:27:32.2,955.92,r,18.4537,-18.91,19.386,7.43,11.956,SN Ia,0.065,60.47217855,0.123
ZTF18aarikzk,SN2020hll,15:05:03.58,+28:48:55.5,964.86,g,18.269,-18.76,17.306,7.248,10.058,SN Ia,0.0563,60.54501241,0.069
ZTF20aatxnxq,SN2020fqc,10:23:46.46,+08:56:27.8,955.69,g,18.0581,-19.32,27.468,8.562,18.906,SN Ia,0.065,50.69489447,0.095
ZTF20aaurhzc,SN2020hen,17:49:15.40,+17:57:03.5,964.92,r,17.5351,-18.41,18.669,9.71,8.959,SN Ia,0.03335,21.5580086,0.182
ZTF20aavfwdo,SN2020hvy,14:09:08.40,+65:48:06.9,973.79,r,17.8694,-19.52,23.441,11.337,12.104,SN Ia,0.0678,49.46010739,0.042
ZTF20aavgcnu,SN2020hop,13:19:28.19,-13:43:25.3,966.84,r,17.9302,-16.63,29.583,18.211,11.372,SN Ic,0.01774,48.58539233,0.172
ZTF20aavhire,SN2020hfk,13:53:28.15,+07:54:34.5,965.81,r,17.0147,-19.09,23.849,11.547,12.302,SN Ia,0.0374,65.80787016,0.074
ZTF20aavhixe,SN2020hcr,13:54:22.59,-05:21:25.2,966.77,g,17.8205,-19.00,61.073,15.378,45.695,SN IIn,0.051,54.12773676,0.079
ZTF20aavnnkm,SN2020hvb,18:35:08.23,+31:41:20.2,973.87,r,17.9807,-19.15,24.827,11.032,13.795,SN Ia,0.055,17.05864013,0.286
ZTF20aavnnqo,SN2020hxn,17:12:24.98,+42:15:55.9,973.87,r,17.6732,-18.38,26.672,10.191,16.481,SN Ia,0.03683,35.62477328,0.054
ZTF18aakkrjm,SN2020hoi,12:13:45.78,+24:21:21.5,971.71,r,17.8459,-17.00,19.593,11.225,8.368,SN Ib,0.02091,81.07759643,0.08
ZTF20aauuiri,SN2020hbe,12:28:35.37,-04:04:10.2,962.73,g,17.8666,-19.03,>36.837,>21.99,14.847,SN Ia,0.05,58.3179554,0.176
ZTF20aavhyel,SN2020hqn,14:18:09.62,+05:25:31.8,971.86,r,17.8666,-17.38,23.256,9.323,13.933,SN Ic,0.02524,60.04718077,0.076
ZTF20aavnnat,SN2020hyh,16:31:54.95,+42:42:37.2,973.95,g,16.9146,-18.84,18.253,6.709,11.544,SN Ia,0.03220,43.09952754,0.033
ZTF20aavpnlv,SN2020hvf,11:21:26.44,+03:00:52.8,977.67,g,12.5716,-19.56,28.267,7.85,20.417,SN Ia,0.00583,57.68143434,0.111
ZTF20aavptjf,SN2020hyb,10:16:58.61,+46:30:38.5,977.73,r,18.0459,-17.54,48.505,17.655,30.85,SN II,0.03,54.03765439,0.024
ZTF20aavrloz,SN2020hyi,14:38:57.91,+51:04:57.7,975.75,g,17.4884,-18.93,19.198,9.16,10.038,SN Ia,0.04332,58.58953163,0.044
ZTF20aavrzha,SN2020hvq,16:46:34.85,+62:49:36.8,973.82,r,15.8732,-18.80,23.989,10.413,13.576,SN Ia,0.01904,38.04598895,0.126
ZTF20aauwjmw,SN2020hhj,14:41:12.38,+14:53:28.3,964.84,g,17.0634,-18.61,16.839,5.457,11.382,SN Ia,0.0305,61.70249297,0.058
ZTF20aavvaup,SN2020iez,09:48:28.38,+50:55:20.9,980.74,r,17.7841,-18.00,30.519,15.029,15.49,SN II,0.03266,48.20346262,0.038
ZTF20aavzffg,SN2020hvp,16:21:45.39,-02:17:21.3,978.79,r,15.1127,-17.01,26.587,11.914,14.673,SN Ib,0.00524,31.47748547,0.433
ZTF20aavzlxm,SN2020ibs,15:22:01.94,+50:10:13.5,978.88,g,18.0296,-19.57,23.915,10.975,12.94,SN Ia,0.0736,53.27552021,0.057
ZTF18aawpwlf,SN2020hvn,11:19:37.94,+30:06:43.4,970.71,r,17.9667,-17.09,28.942,11.216,17.726,SN II,0.02344,69.66848543,0.045
ZTF20aavpnqt,SN2020hya,11:27:27.15,+07:04:09.0,974.69,g,17.6553,-19.82,25.176,8.394,16.782,SN Ia,0.064,61.72643292,0.205
ZTF20aavqfli,SN2020hzi,11:35:09.36,+21:06:25.6,974.69,g,17.8459,-19.54,22.662,8.457,14.205,SN Ia,0.0664,71.60715982,0.064
ZTF20aawdjlp,SN2020ihr,10:59:18.68,+43:39:25.8,980.70,g,16.8111,-18.79,24.632,9.61,15.022,SN Ia,0.03,62.02359901,0.033
ZTF20aawjbsf,SN2020igs,09:36:55.41,+08:33:44.4,968.71,g,18.0445,-17.00,22.624,3.639,18.985,SN II,0.0222,40.50844636,0.111
ZTF20aawmlfq,SN2020igy,16:18:07.72,+21:03:58.6,980.90,g,16.6008,-19.38,22.897,11.984,10.913,SN Ia,0.03179,42.7611711,0.24
ZTF20aawijco,SN2020hfn,19:48:47.98,-10:34:22.6,977.99,r,18.3969,-17.30,>75.453,>13.03,62.423,SN IIn,0.02485,-17.47911436,0.653
ZTF20aawqywr,SN2020ilb,09:41:03.93,+34:44:01.0,981.73,r,17.7155,-18.99,23.851,10.54,13.311,SN Ia,0.0499,48.85558124,0.032
ZTF20aawxsit,SN2020ikd,17:48:11.79,+09:18:09.0,984.90,r,18.3861,-18.05,40.884,16.977,23.907,SN Ia-pec,0.037,18.2402295,0.502
ZTF20aaxablt,SN2020ipb,10:52:35.30,+25:07:05.2,985.69,g,17.7094,-19.71,34.372,12.764,21.608,SN Ia,0.064,63.30861443,0.16
ZTF20aaxahpk,SN2020inz,11:18:21.43,+42:18:14.5,980.70,g,17.9559,-19.55,27.132,9.817,17.315,SN Ia,0.07045,65.72501761,0.059
ZTF20aaxhzhc,SN2020ikq,13:36:05.01,+28:59:00.1,971.80,g,18.3711,-17.69,12.328,4.027,8.301,SN IIb,0.037,79.98122985,0.032
ZTF19adcetym,SN2019zrs,09:59:41.23,+49:15:29.3,977.73,r,18.4383,-18.85,18.933,9.036,9.897,SN Ia,0.0652,50.41856001,0.032
ZTF20aaxbvkt,SN2020iso,15:50:21.76,-16:47:13.4,979.81,r,18.3784,-18.18,24.748,11.47,13.278,SN Ia,0.04,28.26975835,0.44
ZTF20aaxxcms,SN2020ixn,18:06:19.03,+36:37:59.8,978.89,g,18.1961,-19.46,32.994,5.961,27.033,SN Ia,0.074,24.31696797,0.092
ZTF18aahatvc,SN2020itn,15:22:04.57,+30:02:55.5,985.78,r,18.1146,-19.59,34.591,10.633,23.958,SN Ia-91T,0.0778,56.95034758,0.057
ZTF20aaxunbm,SN2020iyi,10:11:03.59,+54:22:10.5,974.68,g,18.3967,-18.51,21.745,3.79,17.955,SN II,0.05465,50.10658684,0.022
ZTF20aavvzlw,SN2020ibv,12:12:22.52,-14:35:20.5,972.75,g,18.3237,-19.29,22.554,9.857,12.697,SN Ia,0.07,47.21909047,0.16
ZTF20aaydgsu,SN2020iyz,12:57:51.16,-17:15:36.1,978.69,g,17.7759,-19.14,18.215,7.094,11.121,SN Ia,0.05,45.58440651,0.191
ZTF20aaxicpu,SN2020jdq,13:58:42.41,+43:07:35.1,977.84,g,18.4225,-19.09,19.337,5.394,13.943,SN Ia,0.07207,68.98580903,0.024
ZTF20aaxxepr,SN2020izd,16:34:21.40,+13:05:50.0,980.92,g,18.4613,-19.47,25.937,8.408,17.529,SN Ia,0.08,36.25946451,0.175
ZTF20aayknbc,SN2020ikp,11:12:14.87,-02:00:07.1,974.69,g,18.1138,-18.55,19.556,3.695,15.861,SN II,0.0467,52.32634992,0.105
ZTF20aayknlo,SN2020jee,11:42:14.70,+20:05:51.1,985.69,g,15.5784,-19.16,19.516,6.539,12.977,SN Ia,0.01993,72.68396765,0.056
ZTF18aangpkx,SN2020jbl,17:01:21.37,+32:47:09.1,985.92,g,18.359,-19.14,18.416,11.509,6.907,SN Ia,0.0699,36.34454056,0.064
ZTF20aaybvye,SN2020jgd,17:14:39.05,+58:52:47.9,987.93,g,18.474,-19.04,22.309,9.42,12.889,SN Ia,0.07,35.37284849,0.079
ZTF20aaynrrh,SN2020jfo,12:21:50.47,+04:28:54.1,981.70,g,14.4392,-17.30,34.203,5.248,28.955,SN II,0.00502,66.27811339,0.061
ZTF20aayjxdv,SN2020jge,18:14:44.50,+43:27:22.1,985.94,g,18.0721,-19.04,31.877,8.958,22.919,SN Ia,0.058,24.62192775,0.088
ZTF20aayprqz,SN2020jhm,15:33:02.30,+67:54:48.4,992.83,g,16.7193,-20.47,31.418,12.46,18.958,SLSN-I,0.06,42.63823746,0.087
ZTF20aayqjpv,SN2020jgs,14:44:07.25,+18:00:46.6,985.79,r,17.2008,-18.58,28.653,10.211,18.442,SN Ia,0.0321,62.51291893,0.086
ZTF20aaymbjk,SN2020jfc,19:10:07.07,+40:00:33.6,985.98,r,18.0684,-17.61,27.158,8.328,18.83,SN Ia,0.02755,13.74850451,0.359
ZTF20aayuyak,SN2020jht,11:59:12.28,+11:30:19.8,991.69,r,17.6786,-17.97,28.04,9.675,18.365,SN Ia,0.0304,70.13624592,0.067
ZTF20aayvubx,SN2020jnr,13:24:07.35,+62:25:37.9,994.76,g,17.0258,-19.30,25.592,10.671,14.921,SN Ia,0.041,54.2886193,0.061
ZTF20aayvymx,SN2020jjf,15:35:08.26,+23:56:44.0,991.75,r,18.3931,-19.27,26.221,13.637,12.584,SN Ia,0.074,53.09579769,0.144
ZTF20aayxldg,SN2020jjh,16:32:17.33,+50:11:25.8,992.81,r,17.4957,-19.12,21.693,8.744,12.949,SN Ia,0.04736,42.48288703,0.065
ZTF18acqsztr,SN2020jir,13:34:41.94,+08:08:33.4,991.80,g,18.4969,-19.41,>19.936,13.976,>5.96,SN Ia,0.0835,68.42712363,0.082
ZTF20aazdsty,SN2020jki,18:22:31.35,+42:58:51.4,991.91,g,18.0907,-19.47,25.569,11.974,13.595,SN Ia,0.07,23.12890011,0.112
ZTF18aahvndq,SN2020jhf,13:14:53.44,+27:00:31.1,991.80,g,15.3851,-18.76,25.573,7.694,17.879,SN Ia,0.01537,84.77817759,0.035
ZTF20aazgtmp,SN2020jny,12:02:58.50,+20:05:07.5,994.72,g,16.3783,-18.77,24.098,9.128,14.97,SN Ia,0.0237,76.86477052,0.084
ZTF20aazgxgk,SN2020jrk,11:27:21.40,+43:15:28.9,994.72,g,18.4477,-19.22,26.283,10.526,15.757,SN Ia,0.0759,66.56367414,0.053
ZTF20aazhzna,SN2020jsa,14:24:23.95,+26:41:22.9,997.79,r,18.0404,-18.00,26.223,12.724,13.499,SN Ia,0.0365,69.30087734,0.059
ZTF20aazkxcw,SN2020joh,15:55:53.41,+11:58:43.3,991.81,g,17.0106,-19.07,18.588,8.915,9.673,SN Ia,0.035,44.28092848,0.147
ZTF20aazhtvi,SN2020jtc,15:48:43.48,+29:49:02.8,994.77,g,18.4614,-19.48,27.642,10.642,17,SN Ia,0.085,51.18402277,0.075
ZTF20aaznpor,SN2020jtg,18:01:36.41,+75:17:18.2,995.76,r,17.1942,-19.11,26.88,13.917,12.963,SN Ia,0.03954,29.32695031,0.167
ZTF20aazdsjr,SN2020jwl,18:18:39.28,+19:11:23.6,991.94,r,18.1947,-19.31,22.889,8.979,13.91,SN Ia,0.06,15.64685042,0.51
ZTF18aavsilo,SN2020jje,14:25:33.03,+15:57:30.6,969.81,r,17.2532,-19.31,24.272,0.452,23.82,SN Ia,0.04592,65.49414953,0.079
ZTF20aazoqmh,SN2020jxq,17:52:49.18,+38:13:43.8,996.83,g,17.4922,-19.49,23.775,10.887,12.888,SN Ia,0.055,27.32516225,0.076
ZTF20aazquhc,SN2020kbh,10:44:34.98,+39:05:40.6,998.74,r,17.4539,-18.45,24.18,8.542,15.638,SN Ia,0.03456,61.06088581,0.038
ZTF20aazstdx,SN2020kbk,14:55:29.59,+32:49:53.9,994.77,g,17.7982,-19.35,21.242,6.262,14.98,SN Ia,0.06,62.64083474,0.055
ZTF20aazhyrs,SN2020jqx,14:18:13.78,-05:56:30.8,986.77,r,18.4186,-18.76,21.077,9.661,11.416,SN Ib,0.0599,50.83064904,0.123
ZTF20aazkjfv,SN2020jqm,13:49:18.57,-03:46:10.3,995.75,r,17.9769,-18.12,27.284,11.745,15.539,SN Ic-BL,0.03696,56.09072265,0.096
ZTF20aazrxef,SN2020kay,11:56:11.31,+60:31:39.9,992.70,g,17.9227,-17.92,35.081,8.021,27.06,SN II,0.033,55.30479231,0.055
ZTF20aazxvox,SN2020kee,13:07:41.53,-07:36:12.5,992.73,r,18.3028,-18.97,>33.455,7.475,>25.98,SN Ia,0.06212,55.04580661,0.134
ZTF20aazycgy,SN2020kef,12:35:01.39,+25:46:46.3,997.70,g,17.4973,-18.08,21.536,9.534,12.002,SN II,0.0295,86.08652361,0.041
ZTF20aazymxi,SN2020kej,15:01:40.83,+78:18:52.5,1001.86,g,16.663,-19.63,25.908,9.165,16.743,SN Ia,0.04,36.75968345,0.083
ZTF20aazpyhy,SN2020kba,15:58:42.58,+08:59:44.6,998.76,r,18.0206,-19.38,21.855,10.933,10.922,SN Ic-BL,0.066,42.28688667,0.13
ZTF20abaknoz,SN2020kkc,14:35:23.06,-13:39:14.7,999.75,g,18.3613,-19.61,21.165,10.394,10.771,SN Ia,0.08,42.04839776,0.212
ZTF18abhbqbh,SN2020kwk,15:27:41.37,+69:49:43.5,1004.77,r,18.147,-18.67,24.425,9.569,14.856,SN Ia,0.052,41.78257314,0.059
ZTF20aazsyvu,SN2020kfb,14:43:46.71,+71:51:00.9,998.84,g,18.4952,-19.07,21.923,7.666,14.257,SN Ia,0.072,42.6786931,0.065
ZTF20abafzxx,SN2020kru,19:15:35.91,+53:20:21.4,997.96,r,18.2929,-17.24,19.982,7.365,12.617,SN Ia,0.02723,18.05137222,0.217
ZTF20abaszgh,SN2020ksa,10:59:27.94,+46:07:28.4,997.77,r,18.3646,-16.59,13.966,7.06,6.906,SN Ib,0.02223,60.85293146,0.051
ZTF20abavxpk,SN2020kte,17:16:29.20,+29:26:43.9,1000.89,r,18.1959,-17.50,19.347,8.638,10.709,SN Ia,0.03022,32.42188783,0.142
ZTF20abawgdl,SN2020kpx,15:38:10.15,+04:46:50.3,1005.73,g,16.0242,-19.12,21.134,8.822,12.312,SN Ia,0.02291,44.45650703,0.143
ZTF20abazekd,SN2020kta,19:13:34.65,+42:01:26.3,997.91,g,17.9663,-19.27,19.752,6.528,13.224,SN Ia,0.0544,13.97440403,0.301
ZTF20abasxmb,SN2020ktn,11:00:16.27,+37:14:28.9,1001.67,g,15.7937,-19.40,24.238,6.007,18.231,SN Ia,0.02475,64.51998649,0.046
ZTF20abbhyxu,SN2020kyx,16:13:45.51,+22:55:14.4,1008.82,r,16.624,-19.29,23.866,8.974,14.892,SN Ia,0.03198,44.275156,0.247
ZTF20abahhml,SN2020krv,21:56:39.92,+41:54:25.2,1013.87,r,18.421,-19.48,30.701,22.712,7.989,SN Ia,0.06,-10.04092252,0.984
ZTF20abapvvq,SN2020kkv,16:13:42.48,-20:57:09.9,999.82,r,17.9349,-19.36,24.709,7.513,17.196,SN Ia,0.05,21.39859638,0.739
ZTF20abasqfx,SN2020kum,09:55:04.50,+79:17:05.3,1005.68,g,18.4083,-19.63,24.782,13.081,11.701,SN Ia,0.09,34.53322766,0.046
ZTF20abaunmw,SN2020kyg,13:11:39.60,+22:54:55.8,997.71,g,18.2893,-14.63,15.874,3.879,11.995,SN Iax,0.00873,83.7778539,0.038
ZTF20abbplei,SN2020lao,17:06:54.60,+30:16:17.3,1004.79,r,17.2521,-18.51,13.979,6.957,7.022,SN Ic-BL,0.03116,34.63870564,0.138
ZTF20abawtpy,SN2020kzp,17:10:17.43,+51:50:34.2,1004.78,r,18.4278,-18.53,21.95,9.891,12.059,SN Ia,0.055,36.40015008,0.078
ZTF20abbrptu,SN2020ldi,11:11:13.75,+64:53:09.8,1009.74,g,17.1268,-18.48,29.696,9.706,19.99,SN Ia,0.03,49.03164317,0.037
ZTF20abcgjvq,SN2020lbf,20:43:44.26,-01:14:17.1,1013.86,r,17.488,-19.60,25.211,16.304,8.907,SN Ia,0.05607,-25.37903522,0.184
ZTF20abavnaw,SN2020kzk,15:41:01.88,+52:51:43.2,1000.90,g,18.4372,-19.42,22.68,6.866,15.814,SN Ia,0.084,49.49073807,0.029
ZTF20abccixp,SN2020lfn,16:26:56.88,+20:14:45.2,1004.72,g,17.8621,-18.78,28.331,6.542,21.789,SN II,0.044,40.54444662,0.196
ZTF20abbihor,SN2020lcy,10:34:38.58,+70:25:48.0,1014.71,g,16.5484,-19.75,25.873,13.507,12.366,SN Ia,0.04,42.54804603,0.09
ZTF20abcsbux,SN2020lhh,14:42:09.98,+11:09:21.3,1009.75,g,18.4889,-19.59,25.542,9.583,15.959,SN Ia,0.09,59.47982307,0.082
ZTF20abcsjtx,SN2020lil,14:37:59.66,+09:23:18.8,1012.73,r,17.0072,-18.69,21.793,8.827,12.966,SN Ia,0.0307,59.23159958,0.104
ZTF19abkrbjt,SN2020lit,16:57:40.97,+39:02:56.2,1011.78,g,17.9138,-19.32,23.005,11.063,11.942,SN Ia,0.0625,38.0547926,0.049
ZTF20abcqpdj,SN2020lqo,12:10:52.81,+42:56:03.4,1012.74,r,18.1065,-18.75,25.465,10.969,14.496,SN Ia,0.0533,72.17832741,0.042
ZTF20abdsunu,SN2020lql,16:37:11.18,+78:07:58.4,1013.75,g,17.6918,-19.32,22.991,6.962,16.029,SN Ia,0.05450,33.19042427,0.112
ZTF20abdxouw,SN2020mat,13:22:08.44,+48:58:34.6,1017.73,g,18.3388,-19.61,27.307,13.035,14.272,SN Ia,0.088,67.35986546,0.019
ZTF20abdzrxo,SN2020lsc,16:14:03.75,+14:16:57.4,1017.80,g,16.3906,-19.81,23.88,8.887,14.993,SN Ia,0.037,41.24520405,0.148
ZTF20abchhuw,SN2020lfe,23:48:18.22,+33:08:56.2,1014.97,r,17.1635,-18.53,27.351,15.027,12.324,SN Ia,0.03,-27.88559068,0.158
ZTF20abdxffu,SN2020lqr,14:01:25.30,+19:31:49.6,1012.70,g,18.1031,-19.11,19.495,8.559,10.936,SN Ia,0.0597,72.25396241,0.12
ZTF18aaiykoz,SN2020mcc,15:57:59.50,+40:02:02.1,1025.74,g,16.0541,-19.60,25.142,10.795,14.347,SN Ia,0.0305,49.56850401,0.043
ZTF20abeeahl,SN2020mdd,15:51:53.80,+34:04:24.2,1016.70,g,17.6198,-19.13,23.145,7.764,15.381,SN Ia,0.0488,50.8684864,0.098
ZTF20abcwuwg,SN2020lim,19:50:34.67,+02:01:00.9,1013.85,r,18.4012,-19.26,26.181,12.37,13.811,SN Ia,0.06,-12.17672088,0.697
ZTF20abdxoeu,SN2020lrr,14:01:06.71,+34:34:51.0,1009.75,g,17.3385,-18.08,21.721,4.493,17.228,SN II,0.0275,73.32580649,0.036
ZTF20abeeytg,SN2020mba,12:34:50.03,+58:54:54.5,1020.71,g,17.2777,-19.11,19.746,8.013,11.733,SN Ia,0.04274,58.08240916,0.038
ZTF20abefbnz,SN2020lwl,13:58:14.88,+23:36:41.2,1012.70,g,18.4111,-19.01,31.475,6.702,24.773,SN Ia,0.068,74.51740375,0.051
ZTF20abeglzu,SN2020mbf,20:23:32.72,+19:42:39.9,1019.87,r,17.5515,-19.42,23.102,9.028,14.074,SN Ia,0.04735,-10.01680633,0.491
ZTF20abedyov,SN2020mao,18:10:33.91,+14:16:03.8,1017.78,r,18.4048,-18.85,21.196,10.259,10.937,SN Ia,0.057,15.39020518,0.335
ZTF20abedydu,SN2020mer,15:25:29.09,+65:20:07.0,1017.80,g,18.4115,-19.42,25.919,7.408,18.511,SN Ia,0.08,44.82927463,0.092
ZTF20abeeyre,SN2020may,12:23:58.95,+48:21:18.9,1025.71,g,17.2971,-19.58,31.052,11.054,19.998,SN Ia,0.0534,68.11217538,0.042
ZTF20abefbpl,SN2020mbc,14:02:03.58,+26:37:49.3,1027.76,r,18.1042,-18.25,24.632,13.87,10.762,SN Ic,0.0423,74.25708722,0.049
ZTF20abefdvd,SN2020lwk,15:19:22.40,+20:32:36.7,1019.76,g,16.9647,-19.38,30.247,9.061,21.186,SN Ia,0.03918,55.66256064,0.161
ZTF20abegate,SN2020mby,17:59:52.47,+50:29:27.2,1022.85,g,17.7017,-19.12,21.946,9.194,12.752,SN Ia,0.05,28.56291433,0.116
ZTF20abejvpr,SN2020mkk,14:37:19.87,+55:12:52.1,1026.74,g,18.2796,-19.74,24.384,8.513,15.871,SN Ia,0.09,55.9961467,0.035
ZTF20abeoicg,SN2020mfx,14:37:02.53,+23:37:39.4,1027.76,r,17.4234,-18.81,22.448,12.386,10.062,SN Ia,0.0392,65.93634683,0.101
ZTF20abeolig,SN2020mfy,13:57:12.78,+22:16:52.2,1021.73,g,17.6905,-19.57,21.84,6.845,14.995,SN Ia,0.0624,74.31009288,0.076
ZTF20abeolsw,SN2020mkm,14:05:04.34,+29:31:34.0,1024.72,r,18.4706,-18.79,21.383,9.983,11.4,SN Ia,0.0641,73.63719083,0.039
ZTF20abepklv,SN2020lkw,14:31:25.58,+33:13:47.6,1012.74,r,18.0611,-16.90,16.909,1.181,15.728,SN II,0.0226,67.6083583,0.02
ZTF20abeeyrs,SN2020maz,11:54:11.66,+55:20:44.5,1019.77,g,18.3233,-19.44,24.572,8.809,15.763,SN Ia,0.08,59.93493079,0.037
ZTF20abeljuj,SN2020mga,18:35:30.10,+36:35:32.3,1026.86,g,17.2674,-19.13,24.444,10.021,14.423,SN Ia,0.04,18.75179932,0.173
ZTF18aarbaba,SN2020mnu,18:03:01.30,+20:37:51.8,1025.87,r,18.2468,-19.09,17.928,8.965,8.963,SN Ia,0.0594,19.59213381,0.326
ZTF20abeldyn,SN2020mff,17:36:04.46,-00:29:49.8,1023.80,r,18.2188,-18.79,28.375,15.076,13.299,SN Ia,0.046,16.46608396,0.612
ZTF20abeqsrm,SN2020mqp,17:13:22.08,+01:33:03.0,1025.69,r,18.0665,-19.04,23.74,11.75,11.99,SN Ia,0.048,22.42822723,0.612
ZTF20abewogd,SN2020muw,20:48:22.90,+83:04:39.3,1026.74,g,18.0311,-19.51,22.602,6.159,16.443,SN Ia,0.06,23.59518419,0.383
ZTF20abffaxl,SN2020mqr,18:02:07.20,+31:51:34.5,1023.81,r,18.0127,-18.35,28.005,7.008,20.997,SN Ia,0.04106,23.70949467,0.139
ZTF20abfklsy,SN2020mta,20:29:55.93,+08:38:44.0,1026.90,g,17.4561,-19.57,25.162,7.603,17.559,SN Ia,0.05,-17.34094235,0.287
ZTF18aayyqia,SN2020lqq,11:57:42.98,+44:40:32.1,1013.73,g,18.1945,-19.24,24.39,11.406,12.984,SN Ia,0.0691,69.41670611,0.034
ZTF20abfqeef,SN2020mwl,12:37:14.54,+67:00:35.2,1029.75,g,17.8994,-19.29,24.395,8.411,15.984,SN Ia,0.06114,50.05905037,0.055
ZTF20abfsemq,SN2020nbo,15:58:14.14,+18:06:10.0,1029.73,g,18.0017,-18.81,16.686,8.012,8.674,SN Ia,0.05,46.20735596,0.111
ZTF20abfemvr,SN2020mvm,13:32:16.55,+29:50:46.7,1027.70,g,18.3288,-19.14,23.162,9.494,13.668,SN Ia,0.07,80.62813752,0.034
ZTF20abfybms,SN2020mvl,13:38:42.28,+24:00:33.7,1033.68,r,18.1732,-18.94,>23.103,13.043,>10.06,SN Ia,0.06,78.89922206,0.03
ZTF20abfyriw,SN2020mvp,14:35:46.54,+24:43:34.4,1027.76,r,17.9297,-18.11,23.1,9.041,14.059,SN Ia,0.03609,66.46044384,0.087
ZTF20abgbxfm,SN2020myi,00:02:35.99,+23:09:06.2,1027.87,g,18.2966,-19.53,>24.421,>8.98,15.441,SN Ia,0.073,-38.35449662,0.26
ZTF20abfhway,SN2020nah,15:17:12.29,+05:44:21.7,1028.71,r,18.1635,-18.47,20.109,10.099,10.01,SN Ia,0.04689,49.28579658,0.115
ZTF20abgfekk,SN2020naj,13:59:39.06,+29:42:36.4,1034.70,g,17.4674,-19.26,>27.953,10.953,>17,SN Ia,0.05,74.79607754,0.038
ZTF20abgfljj,SN2020nei,13:07:35.90,+43:33:36.0,1031.68,g,18.4476,-18.78,17.066,9.137,7.929,SN Ia,0.062,73.24678397,0.059
ZTF20abfcrzj,SN2020mob,20:26:52.28,-18:37:02.2,1032.84,r,18.0846,-17.06,32.543,22.867,9.676,SN IIb,0.023,-29.12470771,0.19
ZTF20abgbxzn,SN2020myg,23:34:26.01,+27:45:24.9,1025.84,g,18.352,-19.10,18.601,6.891,11.71,SN Ia,0.065,-32.0849315,0.16
ZTF20abgwfek,AT2020neh,15:21:20.08,+14:04:10.5,1031.69,g,17.7914,-19.51,25.912,7.896,18.016,TDE,0.062,52.74797814,0.121
ZTF20abgzvff,SN2020nfr,23:06:13.72,+49:01:34.1,1031.94,r,17.01,-18.73,19.806,7.888,11.918,SN Ia,0.025,-10.30484684,0.686
ZTF20abgbwmt,SN2020ndv,23:09:38.09,+12:49:48.0,1032.98,g,16.8474,-19.34,26.777,7.873,18.904,SN Ia,0.035,-43.023529,0.242
ZTF20abgtvhl,SN2020nco,00:08:18.97,+08:07:16.3,1033.86,r,17.7786,-17.05,>67.993,>12.89,55.103,SN II,0.0178,-53.23490156,0.482
ZTF20abhmqdn,SN2020npb,17:59:58.22,+44:51:45.6,1044.74,r,17.1309,-19.05,32.507,12.771,19.736,SN Ia,0.038,27.52484307,0.115
ZTF20abgoocl,SN2020nim,16:16:52.35,+26:44:09.1,1044.70,g,18.332,-18.93,68.848,17.875,50.973,SN II,0.06,44.54509249,0.145
ZTF20abhvnzc,SN2020nln,15:12:45.13,+41:14:01.2,1031.73,r,17.6155,-17.83,13.293,6.303,6.99,SN Ia,0.02784,57.84368103,0.05
ZTF20abhzgly,SN2020nmo,22:42:38.66,+33:42:50.0,1034.96,g,18.3519,-19.62,24.331,6.365,17.966,SN Ia,0.08,-21.92301825,0.209
ZTF20abhmnom,SN2020npk,17:49:10.38,+31:45:34.9,1035.72,g,17.9385,-19.67,29.079,8.645,20.434,SN Ia,0.07,26.30055882,0.153
ZTF20abixkhh,SN2020nqw,15:11:47.26,+36:46:15.3,1043.75,r,18.024,-18.27,27.047,14.093,12.954,SN Ia,0.041,58.90577545,0.05
ZTF20abjbgjj,SN2020ntt,23:50:14.27,+10:07:41.3,1033.86,r,18.439,-19.26,10.148,2.807,7.341,SN IIn,0.074,-49.89642749,0.182
ZTF20abjonjs,SN2020nyb,01:59:08.14,+86:40:34.3,1045.85,r,17.8289,-16.76,35.11,11.132,23.978,SN II,0.01552,23.94460813,0.552
ZTF20abkiarz,SN2020oce,23:12:20.74,+31:07:33.6,1044.98,r,17.4294,-17.78,>13.392,8.462,>4.93,SN Ic,0.02354,-27.1317668,0.213
ZTF20abipuee,SN2020npt,19:04:26.25,+55:14:45.9,1038.77,g,18.1924,-18.68,20.966,8.897,12.069,SN Ia,0.05,20.23558146,0.159
