ZTF_Name,Version,subject_ids,Ia,Ia-norm,Ia-91T,Ia-91bg,Ia-csm,Ia-02cx,Ia-03fg,Ib,Ib-norm,IIb,Ibn,Ic,Ic-norm,Ic-BL,Ic-SLSN,II,II-norm,IIn,NotSN,AGN,Gal,LBV,M-star,QSO,C-star,TDE,NoMatch,rlap,z,Class,redshift,col4,col5,col6,col7,col9
ZTF17aaazdba,ZTF17aaazdba_20190303_P60_v1.ascii,53623574,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46,0.0429,TDE,0.022,,2458545.5,2459943.26,-1397.76,0
ZTF17aaazdba,ZTF17aaazdba_20190304_P200_v1.ascii,53623575,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48,0.0747,TDE,0.022,,2458546.5,2459943.26,-1396.76,0
ZTF17aaazdba,ZTF17aaazdba_20190304_P60_v1.ascii,53623576,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0.0404,TDE,0.022,,2458546.5,2459943.26,-1396.76,0
ZTF17aaazdba,ZTF17aaazdba_20190309_Gemini_N_v2.ascii,53623577,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0.1975,TDE,0.022,,2458551.5,2459943.26,-1391.76,0
ZTF17aaazdba,ZTF17aaazdba_20190310_DCT_v1.ascii,53623578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5.94,0.023,TDE,0.022,,2458552.5,2459943.26,-1390.76,0
ZTF17aaazdba,ZTF17aaazdba_20190315_P60_v1.ascii,53623579,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0.2648,TDE,0.022,,2458557.5,2459943.26,-1385.76,0
ZTF17aaazdba,ZTF17aaazdba_20190316_NOT_v1.ascii,53623580,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03,0.0332,TDE,0.022,,2458558.5,2459943.26,-1384.76,0
ZTF17aaazdba,ZTF17aaazdba_20190319_P60_v1.ascii,53623581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,5.13,0.0245,TDE,0.022,,2458561.5,2459943.26,-1381.76,0
ZTF17aaazdba,ZTF17aaazdba_20190323_Gemini_N_v1.ascii,53623582,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0.2938,TDE,0.022,,2458565.5,2459943.26,-1377.76,0
ZTF17aaazdba,ZTF17aaazdba_20190324_P60_v1.ascii,53623583,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.12,0.2818,TDE,0.022,,2458566.5,2459943.26,-1376.76,0
ZTF17aaazdba,ZTF17aaazdba_20190328_DCT_v3.ascii,53623584,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0.0592,TDE,0.022,,2458570.5,2459943.26,-1372.76,0
ZTF17aaazdba,ZTF17aaazdba_20190330_P60_v1.ascii,53623585,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,6.47,0.0236,TDE,0.022,,2458572.5,2459943.26,-1370.76,0
ZTF17aaazdba,ZTF17aaazdba_20190406_P60_v1.ascii,53623586,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,6.27,0.0238,TDE,0.022,,2458579.5,2459943.26,-1363.76,0
ZTF17aaazdba,ZTF17aaazdba_20190417_P60_v1.ascii,53623587,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,7.12,0.0172,TDE,0.022,,2458590.5,2459943.26,-1352.76,0
ZTF17aaazdba,ZTF17aaazdba_20190424_P60_v1.ascii,53623588,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0.7381,TDE,0.022,,2458597.5,2459943.26,-1345.76,0
ZTF17aaazdba,ZTF17aaazdba_20190501_Keck1_v1.ascii,53623589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,9.77,0.0296,TDE,0.022,,2458604.5,2459943.26,-1338.76,0
ZTF17aaazdba,ZTF17aaazdba_20190502_DCT_v1.ascii,53623590,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0.0577,TDE,0.022,,2458605.5,2459943.26,-1337.76,0
ZTF17aaazdba,ZTF17aaazdba_20190505_Lick_3-m_v1.ascii,53623591,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,8.78,0.029,TDE,0.022,,2458608.5,2459943.26,-1334.76,0
ZTF17aaazdba,ZTF17aaazdba_20190513_Lick_3-m_v1.ascii,53623592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8.54,0.036,TDE,0.022,,2458616.5,2459943.26,-1326.76,0
ZTF17aaazdba,ZTF17aaazdba_20190529_DCT_v1.ascii,53623593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5.55,0.0232,TDE,0.022,,2458632.5,2459943.26,-1310.76,0
ZTF17aaazdba,ZTF17aaazdba_20190925_Keck1_v4.ascii,53623594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12.26,0.0225,TDE,0.022,,2458751.5,2459943.26,-1191.76,0
ZTF17aaazdba,ZTF17aaazdba_20191023_DCT_v1.ascii,53623595,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,12.16,0.0225,TDE,0.022,,2458779.5,2459943.26,-1163.76,0
ZTF17aaazdba,ZTF17aaazdba_20191105_DCT_v1.ascii,53623596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11.12,0.022,TDE,0.022,,2458792.5,2459943.26,-1150.76,0
ZTF17aaazdba,ZTF17aaazdba_20191203_DCT_v2.ascii,53623597,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21,0.0684,TDE,0.022,,2458820.5,2459943.26,-1122.76,0
ZTF17aabcpcp,ZTF17aabcpcp_20181102_P60_v1.ascii,53623598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,18.27,0.034,galaxy,,,2458424.5,2459804.39,-1379.89,0
ZTF17aaburzk,ZTF17aaburzk_20180717_P60_v1.ascii,53623599,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0.0333,CV,,,2458316.5,2459742.4,-1425.9,0
ZTF17aadcbei,ZTF17aadcbei_20181117_P60_v1.ascii,53623600,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61,0.2652,CV,,,2458439.5,2459819.47,-1379.97,0
ZTF17aadlxmv,ZTF17aadlxmv_20200123_P60_v1.ascii,53623601,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0.0576,Ia,0.062,,2458871.5,2460261.22,-1389.72,0
ZTF18aaabltn,ZTF18aaabltn_20181209_P60_v1.ascii,53623602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,18.47,0.0453,CLAGN,0.0458,,2458461.5,2460282.23,-1820.73,0
ZTF18aaabltn,ZTF18aaabltn_20190502_DCT_v1.ascii,53623603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,1,0,0,0,21.11,0.0449,CLAGN,0.0458,,2458605.5,2460282.23,-1676.73,0
ZTF18aaabltn,ZTF18aaabltn_20201015_DCT_v1.ascii,63328736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,41.0,0.0458,CLAGN,0.0458,,2459137.5,2460282.23,-1144.73,0
ZTF18aaadtdc,ZTF18aaadtdc_20181106_P60_v1.ascii,53623604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,30.5,0.0359,AGN,0.03865,,2458428.5,2459816.3,-1387.8,0
ZTF18aaaehwv,ZTF18aaaehwv_20200917_P60_v1.ascii,63328737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,4.0,0.6678,-,,,2459109.5,2460490.55,-1381.05,0
ZTF18aaaibml,ZTF18aaaibml_20200212_LT_v1.ascii,53623605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,21.12,0.035,II,0.0348,,2458891.5,2460291.33,-1399.83,0
ZTF18aaaibml,ZTF18aaaibml_20200212_LT_v2.ascii,53623606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,24.35,0.0352,II,0.0348,,2458891.5,2460291.33,-1399.83,0
ZTF18aaaibml,ZTF18aaaibml_20200214_P200_v1.ascii,53623607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,33.27,0.0346,II,0.0348,,2458893.5,2460291.33,-1397.83,0
ZTF18aaaibml,ZTF18aaaibml_20200219_Keck1_v1.ascii,53623608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,33.03,0.0348,II,0.0348,,2458898.5,2460291.33,-1392.83,0
ZTF18aaakpbx,ZTF18aaakpbx_20180928_P60_v2.ascii,53623609,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,2,0,0,0,1,0,0,0,9.23,0.274,CV,,,2458389.5,2460256.25,-1866.75,0
ZTF18aaakpsa,ZTF18aaakpsa_20180910_P60_v1.ascii,53623610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,7.94,0.0157,AGN,0.017,,2458371.5,2460528.4,-2156.9,0
ZTF18aaaokus,ZTF18aaaokus_20181110_P60_v1.ascii,53623611,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,5,0,0,0,6.96,0.007,AGN,0.00883,,2458432.5,2460337.27,-1904.77,0
ZTF18aaaqexr,ZTF18aaaqexr_20200215_P60_v1.ascii,53623612,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0.7297,Ia,0.0702,,2458894.5,2460273.45,-1378.95,0
ZTF18aaaqexr,ZTF18aaaqexr_20200220_P60_v1.ascii,53623613,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05,0.7629,Ia,0.0702,,2458899.5,2460273.45,-1373.95,0
ZTF18aabcvnq,ZTF18aabcvnq_20180604_P60_v1.ascii,53623614,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0.1729,star,,,2458273.5,2459642.2,-1368.7,0
ZTF18aabfxpw,ZTF18aabfxpw_20181220_P60_v1.ascii,53623615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0.7996,CV,,,2458472.5,2459853.29,-1380.79,0
ZTF18aabicqe,ZTF18aabicqe_20181103_P60_v1.ascii,53623616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,0,0,35.48,0.0812,AGN,,,2458425.5,2460244.34,-1818.84,0
ZTF18aabilqu,ZTF18aabilqu_20180522_P200_v1.ascii,53623617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,0,16.62,0.022,AGN,0.0222,,2458260.5,2460633.25,-2372.75,0
ZTF18aabilqu,ZTF18aabilqu_20180522_P60_v1.ascii,53623618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,10.65,0.0198,AGN,0.0222,,2458260.5,2460633.25,-2372.75,0
ZTF18aabssth,ZTF18aabssth_20180309_P60_v1.ascii,53623619,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8.07,0.0374,II,0.026,0.022914,2458186.5,2459600.24,-1413.74,1
ZTF18aabtahy,ZTF18aabtahy_20180308_P200_v1.ascii,53623620,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,3,0,0,0,0,0,0,6.68,0.1752,-,0.0304,,2458185.5,2459600.33,-1414.83,0
ZTF18aabtxvd,ZTF18aabtxvd_20180307_P60_v1.ascii,53623621,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,4.19,0.605,TDE,0.071,,2458184.5,2459605.2,-1420.7,0
ZTF18aabtxvd,ZTF18aabtxvd_20180326_P60_v1.ascii,53623622,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0.5506,TDE,0.071,,2458203.5,2459605.2,-1401.7,0
ZTF18aabtxvd,ZTF18aabtxvd_20180327_P60_v1.ascii,53623623,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7.16,0.5336,TDE,0.071,,2458204.5,2459605.2,-1400.7,0
ZTF18aabtxvd,ZTF18aabtxvd_20180328_WHT_v1.ascii,53623624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,9.66,0.0651,TDE,0.071,,2458205.5,2459605.2,-1399.7,0
ZTF18aabtxvd,ZTF18aabtxvd_20180404_DCT_v3.ascii,53623625,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4.13,0.3708,TDE,0.071,,2458212.5,2459605.2,-1392.7,0
ZTF18aabtxvd,ZTF18aabtxvd_20180411_DCT_v2.ascii,53623626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12.78,0.0617,TDE,0.071,,2458219.5,2459605.2,-1385.7,0
ZTF18aabtxvd,ZTF18aabtxvd_20180411_P200_v1.ascii,53623627,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.08,0.5379,TDE,0.071,,2458219.5,2459605.2,-1385.7,0
ZTF18aabtxvd,ZTF18aabtxvd_20180417_Keck1_v1.ascii,53623628,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,13.03,0.0669,TDE,0.071,,2458225.5,2459605.2,-1379.7,0
ZTF18aabtxvd,ZTF18aabtxvd_20180419_Gemini_N_v1.ascii,53623629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,11.85,0.0675,TDE,0.071,,2458227.5,2459605.2,-1377.7,0
ZTF18aabtxvd,ZTF18aabtxvd_20180505_Gemini_N_v1.ascii,53623630,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,6,0,5.04,0.0638,TDE,0.071,,2458243.5,2459605.2,-1361.7,0
ZTF18aabtxvd,ZTF18aabtxvd_20180506_DCT_v1.ascii,53623631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,7.89,0.0638,TDE,0.071,,2458244.5,2459605.2,-1360.7,0
ZTF18aabtxvd,ZTF18aabtxvd_20180513_DCT_v1.ascii,53623632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,7.97,0.0622,TDE,0.071,,2458251.5,2459605.2,-1353.7,0
ZTF18aabtxvd,ZTF18aabtxvd_20180519_DCT_v2.ascii,53623633,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,0.3705,TDE,0.071,,2458257.5,2459605.2,-1347.7,0
ZTF18aabtxvd,ZTF18aabtxvd_20191023_DCT_v1.ascii,53623634,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,0.1395,TDE,0.071,,2458779.5,2459605.2,-825.7,0
ZTF18aabuoud,ZTF18aabuoud_20190705_P60_v1.ascii,53623635,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52,0.5165,-,0.0588,,2458669.5,2460055.23,-1385.73,0
ZTF18aabvmws,ZTF18aabvmws_20181110_P60_v1.ascii,53623636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,11.28,0.0282,AGN?,0.0285,,2458432.5,2459808.57,-1376.07,0
ZTF18aabvpbb,ZTF18aabvpbb_20180919_P60_v1.ascii,53623637,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48,0.0507,CV,,,2458380.5,2460246.24,-1865.74,0
ZTF18aabxlsv,ZTF18aabxlsv_20180510_P60_v1.ascii,53623638,0,1,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8.57,0.0555,Ib,0.055,0.04797,2458248.5,2459606.21,-1357.71,1
ZTF18aabxlsv,ZTF18aabxlsv_20180517_P200_v1.ascii,53623639,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9.46,0.0557,Ib,0.055,0.04797,2458255.5,2459606.21,-1350.71,1
ZTF18aabxlsv,ZTF18aabxlsv_20181110_Keck1_v1.ascii,53623640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,8.91,0.0497,Ib,0.055,0.04797,2458432.5,2459606.21,-1173.71,1
ZTF18aabybkt,ZTF18aabybkt_20180308_P200_v1.ascii,53623641,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5.56,0.0022,II,0.00802,0.00802,2458185.5,2458247.75,-62.25,2
ZTF18aabybkt,ZTF18aabybkt_20180309_P60_v1.ascii,53623642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,6.0,0.0083,II,0.00802,0.00802,2458186.5,2458247.75,-61.25,2
ZTF18aabybkt,ZTF18aabybkt_20180316_P60_v1.ascii,53623643,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,0.0261,II,0.00802,0.00802,2458193.5,2458247.75,-54.25,2
ZTF18aabybkt,ZTF18aabybkt_20180321_APO_v1.ascii,53623644,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,16.07,0.0074,II,0.00802,0.00802,2458198.5,2458247.75,-49.25,2
ZTF18aaccmnh,ZTF18aaccmnh_20180517_P200_v1.ascii,53623645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,16.38,0.0316,II,0.0356,0.0356,2458255.5,2458266.77,-11.27,2
ZTF18aachojf,ZTF18aachojf_20180523_P60_v1.ascii,53623646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,3,0,0,0,21.05,0.0379,AGN,0.0392,,2458261.5,2459625.19,-1363.69,0
ZTF18aacopwm,ZTF18aacopwm_20181204_Keck1_v1.ascii,53623647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,10.26,0.088,-,,,2458456.5,2459771.54,-1315.04,0
ZTF18aacsudg,ZTF18aacsudg_20191001_P60_v1.ascii,53623648,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10.2,0.0242,IIP,0.02531,0.02531,2458757.5,2458748.99,8.51,2
ZTF18aacsudg,ZTF18aacsudg_20191003_P200_v1.ascii,53623649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,14.07,0.0247,IIP,0.02531,0.02531,2458759.5,2458748.99,10.51,2
ZTF18aadbtae,ZTF18aadbtae_20190701_P200_v1.ascii,53623650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,3,0,0,0,7.15,0.0762,-,0.0761,,2458665.5,2460027.23,-1361.73,0
ZTF18aadkjmo,ZTF18aadkjmo_20181102_P60_v1.ascii,53623651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,6,0,0,0,14.0,0.0233,AGN,0.02499,,2458424.5,2459837.31,-1412.81,0
ZTF18aadnqwz,ZTF18aadnqwz_20180831_P60_v1.ascii,53623652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,1,0,0,0,16.3,0.0382,AGN,0.04,,2458361.5,2459741.5,-1380.0,0
ZTF18aadqmyy,ZTF18aadqmyy_20190324_P60_v1.ascii,53623653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,11.16,0.042,-,,,2458566.5,2459904.23,-1337.73,0
ZTF18aadsuxd,ZTF18aadsuxd_20201103_P60_v1.ascii,63328738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,6,0,0,0,0,0,0,14.87,0.0293,II,0.0311,,2459156.5,2460550.52,-1394.02,0
ZTF18aadsuxd,ZTF18aadsuxd_20201110_P60_v1.ascii,63328739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,7.44,0.0301,II,0.0311,,2459163.5,2460550.52,-1387.02,0
ZTF18aadvsxy,ZTF18aadvsxy_20200921_P60_v1.ascii,63328740,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,8.38,0.0742,-,0.0697,,2459113.5,2460478.49,-1364.99,0
ZTF18aadzfso,ZTF18aadzfso_20200208_LT_v1.ascii,53623654,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64,0.0677,Ia,0.05,,2458887.5,2460274.31,-1386.81,0
ZTF18aaegvyd,ZTF18aaegvyd_20190625_P60_v1.ascii,53623655,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5.18,0.0281,II,0.0235,,2458659.5,2460020.24,-1360.74,0
ZTF18aaekkoj,ZTF18aaekkoj_20180514_Keck1_v1.ascii,53623656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,38.09,0.0454,?,0.04704,0.04704,2458252.5,2458227.65,24.85,2
ZTF18aaemivw,ZTF18aaemivw_20181104_P60_v1.ascii,53623657,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,0.065,Ia,0.065,0.068069,2458426.5,2459805.57,-1379.07,1
ZTF18aaenfaa,ZTF18aaenfaa_20180922_P60_v1.ascii,53623658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,27.19,0.0729,AGN,0.0776,,2458383.5,2460508.44,-2124.94,0
ZTF18aaenucd,ZTF18aaenucd_20190315_P200_v1.ascii,53623659,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,5.43,0.0747,-,0.0765,,2458557.5,2459904.21,-1346.71,0
ZTF18aaeoiwu,ZTF18aaeoiwu_20191019_P60_v1.ascii,53623660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8.27,0.6259,star,,,2458775.5,2460574.49,-1798.99,0
